翻訳ID,日本語,英語,中国語（簡体字）,韓国語
ジョバンニのPC,ジョバンニのPC,ПК Джованни,乔班尼的电脑,조반니의 PC
消毒用エタノール,消毒用エタノール,Этаноловый дезинфицирующий спрей,乙醇消毒液,소독용 에탄올
イデアル・ハック専用ケーブル,イデアル・ハック専用ケーブル,Идеальный хакерский кабель,理想骇解专用数据线,아이디얼 해킹 전용 케이블
ドリームダスト,ドリームダスト,Пыль грёз,梦幻粉,드림 더스트
鉄くず,鉄くず,Железный лом,废铁,쇳조각
ギア,ギア,Шестерня,齿轮,톱니바퀴
誰かの義手,誰かの義手,Протез конечности,某人的义肢,누군가의 의수
プリペイドカード,プリペイドカード,Криптокарта,预付卡,선불 카드
Wiのグッズ,Wiのグッズ,Мерч «Ви»,Wi的周边,Wi의 굿즈
モーリィ・ハウスの位置情報,モーリィ・ハウスの位置情報,Координаты «Светлого Дома»,莫莉公馆的位置信息,몰리 하우스 위치 정보
